ZIP	City	County	Type
27980	Tyner	Chowan	Standard
27981	Wanchese	Dare	Standard
27982	Waves	Dare	P.O. Box
27983	Windsor	Bertie	Standard
27985	Winfall	Perquimans	P.O. Box
27986	Winton	Hertford	Standard
28001	Albemarle	Stanly	Standard
28002	Albemarle	Stanly	P.O. Box
28006	Alexis	Gaston	Standard
28007	Ansonville	Anson	P.O. Box
28009	Badin	Stanly	P.O. Box
28010	Barium Springs	Iredell	P.O. Box
28012	Belmont	Gaston	Standard
28016	Bessemer City	Gaston	Standard
28017	Boiling Springs	Cleveland	P.O. Box
28018	Bostic	Rutherford	Standard
28019	Caroleen	Rutherford	P.O. Box
28020	Casar	Cleveland	Standard
28021	Cherryville	Gaston	Standard
28023	China Grove	Rowan	Standard
28024	Cliffside	Rutherford	P.O. Box
28025	Concord	Cabarrus	Standard
28026	Concord	Cabarrus	P.O. Box
28027	Concord	Cabarrus	Standard
28031	Cornelius	Mecklenburg	Standard
28032	Cramerton	Gaston	Standard
28033	Crouse	Lincoln	Standard
28034	Dallas	Gaston	Standard
28035	Davidson	Mecklenburg	Standard
28036	Davidson	Mecklenburg	Standard
28037	Denver	Lincoln	Standard
28038	Earl	Cleveland	P.O. Box
28039	East Spencer	Rowan	P.O. Box
28040	Ellenboro	Rutherford	Standard
28041	Faith	Rowan	P.O. Box
28042	Fallston	Cleveland	P.O. Box
28043	Forest City	Rutherford	Standard
28052	Gastonia	Gaston	Standard
28053	Gastonia	Gaston	P.O. Box
28054	Gastonia	Gaston	Standard
28055	Gastonia	Gaston	P.O. Box
28056	Gastonia	Gaston	Standard
28070	Huntersville	Mecklenburg	P.O. Box
28071	Gold Hill	Rowan	Standard
28072	Granite Quarry	Rowan	P.O. Box
28073	Grover	Cleveland	Standard
28074	Harris	Rutherford	P.O. Box
28075	Harrisburg	Cabarrus	Standard
28076	Henrietta	Rutherford	P.O. Box
28077	High Shoals	Gaston	P.O. Box
28078	Huntersville	Mecklenburg	Standard
28079	Indian Trail	Union	Standard
28080	Iron Station	Lincoln	Standard
28081	Kannapolis	Cabarrus	Standard
28082	Kannapolis	Cabarrus	P.O. Box
28083	Kannapolis	Cabarrus	Standard
28086	Kings Mountain	Cleveland	Standard
28088	Landis	Rowan	Standard
28089	Lattimore	Cleveland	P.O. Box
28090	Lawndale	Cleveland	Standard
28091	Lilesville	Anson	Standard
28092	Lincolnton	Lincoln	Standard
28093	Lincolnton	Lincoln	P.O. Box
28097	Locust	Stanly	Standard
28098	Lowell	Gaston	Standard
28101	Mc Adenville	Gaston	Standard
28102	Mc Farlan	Anson	P.O. Box
28103	Marshville	Union	Standard
28104	Matthews	Union	Standard
28105	Matthews	Mecklenburg	Standard
28106	Matthews	Mecklenburg	P.O. Box
28107	Midland	Cabarrus	Standard
28108	Mineral Springs	Union	P.O. Box
28109	Misenheimer	Stanly	P.O. Box
28110	Monroe	Union	Standard
28111	Monroe	Union	P.O. Box
28112	Monroe	Union	Standard
28114	Mooresboro	Cleveland	Standard
28115	Mooresville	Iredell	Standard
28117	Mooresville	Iredell	Standard
28119	Morven	Anson	Standard
28120	Mount Holly	Gaston	Standard
28123	Mount Mourne	Iredell	P.O. Box
28124	Mount Pleasant	Cabarrus	Standard
28125	Mount Ulla	Rowan	Standard
28126	Newell	Mecklenburg	P.O. Box
28127	New London	Stanly	Standard
28128	Norwood	Stanly	Standard
28129	Oakboro	Stanly	Standard
28130	Paw Creek	Mecklenburg	P.O. Box
28133	Peachland	Anson	Standard
28134	Pineville	Mecklenburg	Standard
28135	Polkton	Anson	Standard
28136	Polkville	Cleveland	P.O. Box
28137	Richfield	Stanly	Standard
28138	Rockwell	Rowan	Standard
28139	Rutherfordton	Rutherford	Standard
28144	Salisbury	Rowan	Standard
28145	Salisbury	Rowan	P.O. Box
28146	Salisbury	Rowan	Standard
28147	Salisbury	Rowan	Standard
28150	Shelby	Cleveland	Standard
28151	Shelby	Cleveland	P.O. Box
28152	Shelby	Cleveland	Standard
28159	Spencer	Rowan	Standard
28160	Spindale	Rutherford	Standard
28163	Stanfield	Stanly	Standard
28164	Stanley	Gaston	Standard
28166	Troutman	Iredell	Standard
28167	Union Mills	Rutherford	Standard
28168	Vale	Lincoln	Standard
28169	Waco	Cleveland	P.O. Box
28170	Wadesboro	Anson	Standard
28173	Waxhaw	Union	Standard
28174	Wingate	Union	Standard
28201	Charlotte	Mecklenburg	P.O. Box
28202	Charlotte	Mecklenburg	Standard
28203	Charlotte	Mecklenburg	Standard
28204	Charlotte	Mecklenburg	Standard
28205	Charlotte	Mecklenburg	Standard
28206	Charlotte	Mecklenburg	Standard
28207	Charlotte	Mecklenburg	Standard
28208	Charlotte	Mecklenburg	Standard
28209	Charlotte	Mecklenburg	Standard
28210	Charlotte	Mecklenburg	Standard
28211	Charlotte	Mecklenburg	Standard
28212	Charlotte	Mecklenburg	Standard
28213	Charlotte	Mecklenburg	Standard
28214	Charlotte	Mecklenburg	Standard
28215	Charlotte	Mecklenburg	Standard
28216	Charlotte	Mecklenburg	Standard
28217	Charlotte	Mecklenburg	Standard
28218	Charlotte	Mecklenburg	P.O. Box
28219	Charlotte	Mecklenburg	P.O. Box
28220	Charlotte	Mecklenburg	P.O. Box
28221	Charlotte	Mecklenburg	P.O. Box
28222	Charlotte	Mecklenburg	P.O. Box
28223	Charlotte	Mecklenburg	Unique
28224	Charlotte	Mecklenburg	P.O. Box
28226	Charlotte	Mecklenburg	Standard
28227	Charlotte	Mecklenburg	Standard
28228	Charlotte	Mecklenburg	Unique
28229	Charlotte	Mecklenburg	P.O. Box
28230	Charlotte	Mecklenburg	P.O. Box
28231	Charlotte	Mecklenburg	P.O. Box
28232	Charlotte	Mecklenburg	P.O. Box
28233	Charlotte	Mecklenburg	P.O. Box
28234	Charlotte	Mecklenburg	P.O. Box
28235	Charlotte	Mecklenburg	P.O. Box
28236	Charlotte	Mecklenburg	P.O. Box
28237	Charlotte	Mecklenburg	P.O. Box
28241	Charlotte	Mecklenburg	P.O. Box
28242	Charlotte	Mecklenburg	Unique
28243	Charlotte	Mecklenburg	Unique
28244	Charlotte	Mecklenburg	Standard
28246	Charlotte	Mecklenburg	Standard
28247	Charlotte	Mecklenburg	P.O. Box
28253	Charlotte	Mecklenburg	Unique
28254	Charlotte	Mecklenburg	Standard
28255	Charlotte	Mecklenburg	Unique
28256	Charlotte	Mecklenburg	P.O. Box
28258	Charlotte	Mecklenburg	Unique
28260	Charlotte	Mecklenburg	P.O. Box
28262	Charlotte	Mecklenburg	Standard
28263	Charlotte	Mecklenburg	Unique
28265	Charlotte	Mecklenburg	P.O. Box
28266	Charlotte	Mecklenburg	P.O. Box
28269	Charlotte	Mecklenburg	Standard
28270	Charlotte	Mecklenburg	Standard
28271	Charlotte	Mecklenburg	P.O. Box
28272	Charlotte	Mecklenburg	P.O. Box
28273	Charlotte	Mecklenburg	Standard
28274	Charlotte	Mecklenburg	Unique
28275	Charlotte	Mecklenburg	P.O. Box
28277	Charlotte	Mecklenburg	Standard
28278	Charlotte	Mecklenburg	Standard
28280	Charlotte	Mecklenburg	Standard
28281	Charlotte	Mecklenburg	Standard
28282	Charlotte	Mecklenburg	Standard
28284	Charlotte	Mecklenburg	Standard
28285	Charlotte	Mecklenburg	Standard
28287	Charlotte	Mecklenburg	Standard
28288	Charlotte	Mecklenburg	Unique
28289	Charlotte	Mecklenburg	Unique
28290	Charlotte	Mecklenburg	Unique
28296	Charlotte	Mecklenburg	Unique
28297	Charlotte	Mecklenburg	P.O. Box
28299	Charlotte	Mecklenburg	P.O. Box
28301	East Fayetteville	Cumberland	Standard
28301	Fayetteville	Cumberland	Standard
28302	Fayetteville	Cumberland	P.O. Box
28303	Fayetteville	Cumberland	Standard
28304	Fayetteville	Cumberland	Standard
28305	Fayetteville	Cumberland	Standard
28306	Fayetteville	Cumberland	Standard
28307	Fort Bragg	Cumberland	Standard
28308	Pope Army Airfield	Cumberland	Standard
28309	Fayetteville	Cumberland	P.O. Box
28310	Fort Bragg	Cumberland	Unique
28311	Fayetteville	Cumberland	Standard
28312	Fayetteville	Cumberland	Standard
28314	Fayetteville	Cumberland	Standard
28315	Aberdeen	Moore	Standard
28318	Autryville	Sampson	Standard
28319	Barnesville	Robeson	P.O. Box
28320	Bladenboro	Bladen	Standard
28323	Bunnlevel	Harnett	Standard
28325	Calypso	Duplin	P.O. Box
28326	Cameron	Harnett	Standard
28327	Carthage	Moore	Standard
28328	Clinton	Sampson	Standard
28329	Clinton	Sampson	P.O. Box
28330	Cordova	Richmond	P.O. Box
28331	Cumberland	Cumberland	P.O. Box
28332	Dublin	Bladen	P.O. Box
28333	Dudley	Wayne	Standard
28334	Dunn	Harnett	Standard
28335	Dunn	Harnett	P.O. Box
28337	Elizabethtown	Bladen	Standard
28338	Ellerbe	Richmond	Standard
28339	Erwin	Harnett	Standard
28340	Fairmont	Robeson	Standard
28341	Faison	Duplin	Standard
28342	Falcon	Cumberland	P.O. Box
28343	Gibson	Scotland	Standard
28344	Godwin	Sampson	Standard
28345	Hamlet	Richmond	Standard
28347	Hoffman	Richmond	Standard
28348	Hope Mills	Cumberland	Standard
28349	Kenansville	Duplin	Standard
28350	Lakeview	Moore	P.O. Box
28351	Laurel Hill	Scotland	Standard
28352	Laurinburg	Scotland	Standard
28353	Laurinburg	Scotland	P.O. Box
